,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.8688888549804688,2023-12-19 16:56:20.416984,2023-12-19 16:59:56.701479,0 days 00:03:36.284495,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.10444444417953491,2023-12-19 16:59:56.848488,2023-12-19 17:05:01.625217,0 days 00:05:04.776729,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.9733333587646484,2023-12-19 17:05:01.818762,2023-12-19 17:05:46.314371,0 days 00:00:44.495609,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.11777777969837189,2023-12-19 17:05:46.457360,2023-12-19 17:11:43.132529,0 days 00:05:56.675169,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.1066666692495346,2023-12-19 17:11:43.277462,2023-12-19 17:18:40.764907,0 days 00:06:57.487445,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.10444444417953491,2023-12-19 17:18:40.953791,2023-12-19 17:20:26.598493,0 days 00:01:45.644702,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.08888889104127884,2023-12-19 17:20:26.736495,2023-12-19 17:24:12.042328,0 days 00:03:45.305833,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.08666667342185974,2023-12-19 17:24:12.215387,2023-12-19 17:25:36.665619,0 days 00:01:24.450232,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.9711111187934875,2023-12-19 17:25:36.844362,2023-12-19 17:29:34.049191,0 days 00:03:57.204829,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.9533333778381348,2023-12-19 17:29:34.237488,2023-12-19 17:33:58.039835,0 days 00:04:23.802347,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.9777777791023254,2023-12-19 17:33:58.177587,2023-12-19 17:35:33.673316,0 days 00:01:35.495729,33,0.0017434174178681313,0.6647505842198953,COMPLETE
11,11,0.9688888788223267,2023-12-19 17:35:33.849724,2023-12-19 17:40:14.150231,0 days 00:04:40.300507,110,0.001318159326250103,0.2,COMPLETE
12,12,0.9688889384269714,2023-12-19 17:40:14.385957,2023-12-19 17:42:46.086189,0 days 00:02:31.700232,56,0.002093537009688554,4.4836731405181185,COMPLETE
13,13,0.9688888788223267,2023-12-19 17:42:46.300620,2023-12-19 17:43:20.465719,0 days 00:00:34.165099,7,0.008851576857608108,3.1502356184145626,COMPLETE
14,14,0.9666666984558105,2023-12-19 17:43:20.696896,2023-12-19 17:46:34.990144,0 days 00:03:14.293248,74,0.0012220254303315695,1.7903369078347506,COMPLETE
15,15,0.9688888788223267,2023-12-19 17:46:35.153333,2023-12-19 17:48:50.010602,0 days 00:02:14.857269,49,0.006919926881728247,5.832545568122269,COMPLETE
16,16,0.6644444465637207,2023-12-19 17:48:50.157696,2023-12-19 17:49:08.992868,0 days 00:00:18.835172,1,0.00624355007699247,9.999999999999998,COMPLETE
17,17,0.9666666984558105,2023-12-19 17:49:09.167354,2023-12-19 17:51:23.289476,0 days 00:02:14.122122,49,0.012367589821820167,4.48136837813531,COMPLETE
18,18,0.9777777791023254,2023-12-19 17:51:23.479009,2023-12-19 17:59:41.259388,0 days 00:08:17.780379,200,0.0024118575052042585,3.504136153551625,COMPLETE
19,19,0.9644443988800049,2023-12-19 17:59:41.456107,2023-12-19 18:07:59.870236,0 days 00:08:18.414129,200,0.0008534411195298202,0.9825720208898248,COMPLETE
