,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
31,31,0.9666666984558105,2023-12-14 16:24:40.527425,2023-12-14 16:26:59.543432,0 days 00:02:19.016007,4500,51,0.002458210350431321,0.2,COMPLETE
32,32,0.9755555391311646,2023-12-14 16:26:59.709264,2023-12-14 16:32:00.937266,0 days 00:05:01.228002,4500,58,0.00243706182169557,0.5966052421414041,COMPLETE
33,33,0.9800000190734863,2023-12-14 16:32:01.099999,2023-12-14 16:36:18.857417,0 days 00:04:17.757418,4096,101,0.0029530474119583454,0.2,COMPLETE
34,34,0.9688888788223267,2023-12-14 16:36:19.017049,2023-12-14 16:41:17.966794,0 days 00:04:58.949745,4096,118,0.010855111583529422,0.2,COMPLETE
35,35,0.9711111187934875,2023-12-14 16:41:18.121849,2023-12-14 16:45:24.885463,0 days 00:04:06.763614,4096,95,0.003951616818716221,1.989049508058928,COMPLETE
36,36,0.9800000190734863,2023-12-14 16:45:25.044074,2023-12-14 16:53:39.228385,0 days 00:08:14.184311,4096,200,0.002588447883509102,1.1858965214718309,COMPLETE
37,37,0.9777777194976807,2023-12-14 16:53:39.379287,2023-12-14 16:59:59.463438,0 days 00:06:20.084151,4096,152,0.0033898416561269824,0.4074396750204522,COMPLETE
38,38,0.9799999594688416,2023-12-14 16:59:59.611420,2023-12-14 17:06:01.842907,0 days 00:06:02.231487,4096,144,0.0023996688475632394,0.26799580108191756,COMPLETE
39,39,0.9844444990158081,2023-12-14 17:06:01.987767,2023-12-14 17:12:04.497047,0 days 00:06:02.509280,4096,144,0.002562097655231041,0.2611383837148618,COMPLETE
40,40,0.9866666793823242,2023-12-14 17:12:04.667402,2023-12-14 17:18:14.806904,0 days 00:06:10.139502,4096,148,0.0022651422962950358,0.2,COMPLETE
41,41,0.9755555987358093,2023-12-14 17:18:14.937750,2023-12-14 17:24:57.650940,0 days 00:06:42.713190,4096,162,0.0012674163403379264,0.2,COMPLETE
42,42,0.9844443798065186,2023-12-14 17:24:57.795056,2023-12-14 17:30:44.646680,0 days 00:05:46.851624,4096,138,0.0035834084694483233,0.2,COMPLETE
43,43,0.9822222590446472,2023-12-14 17:30:44.803509,2023-12-14 17:37:15.326820,0 days 00:06:30.523311,4096,156,0.0032745349140095676,0.2,COMPLETE
44,44,0.9888888597488403,2023-12-14 17:37:15.504172,2023-12-14 17:43:30.463129,0 days 00:06:14.958957,4096,150,0.0034316430585785112,0.2,COMPLETE
45,45,0.9800000190734863,2023-12-14 17:43:30.597968,2023-12-14 17:50:31.708548,0 days 00:07:01.110580,4096,169,0.0032716325416521953,0.2,COMPLETE
46,46,0.9866666793823242,2023-12-14 17:50:31.862472,2023-12-14 17:56:57.135630,0 days 00:06:25.273158,4096,154,0.0031429527746088368,0.2,COMPLETE
47,47,0.9777777791023254,2023-12-14 17:56:57.283903,2023-12-14 18:03:09.054245,0 days 00:06:11.770342,4096,149,0.0033715202452212537,0.2,COMPLETE
48,48,0.9866666793823242,2023-12-14 18:03:09.199437,2023-12-14 18:09:13.266116,0 days 00:06:04.066679,4096,145,0.003443681550262739,0.2,COMPLETE
49,49,0.9866666793823242,2023-12-14 18:09:13.413218,2023-12-14 18:15:38.399346,0 days 00:06:24.986128,4096,154,0.0031585413744436917,0.2,COMPLETE
