Step,Grad_Norm,Noise_Norm,SNR
0,8.358504295349121,8218.2978515625,0.0010170602777264837
1,8.220059394836426,8241.8310546875,0.0009973583952756844
2,7.948943138122559,8221.8271484375,0.0009668098093783447
3,7.83320426940918,8219.3271484375,0.0009530225683860603
4,8.2764253616333,8187.7587890625,0.00101082916276054
5,7.617513656616211,8228.1162109375,0.0009257907230928964
6,8.884636878967285,8214.7490234375,0.001081546965539486
7,8.854413986206055,8218.4921875,0.0010773769426554018
8,7.920477390289307,8250.142578125,0.000960041273867219
9,7.570626258850098,8214.1376953125,0.0009216580656019889
10,9.250819206237793,8202.9453125,0.0011277436157158085
11,7.536932945251465,8220.3583984375,0.0009168618422627487
12,8.669572830200195,8203.5439453125,0.0010568082389750572
13,8.195712089538574,8228.2099609375,0.0009960504324083603
14,8.494950294494629,8240.09765625,0.0010309283516866242
15,8.668815612792969,8197.7001953125,0.0010574692177386354
16,8.488261222839355,8221.150390625,0.0010324906879843672
17,8.015182495117188,8218.1875,0.000975298080643352
18,8.793581008911133,8230.8486328125,0.0010683686945542024
19,8.520983695983887,8218.642578125,0.0010367872328045518
20,7.813323974609375,8222.6796875,0.0009502162642291756
21,7.551944255828857,8225.7919921875,0.0009180811115818837
22,8.215893745422363,8224.18359375,0.0009989920156532087
23,7.395283222198486,8207.9541015625,0.0009009898362846218
24,8.501546859741211,8218.0615234375,0.0010344954020477001
25,8.682528495788574,8221.6904296875,0.001056051498173301
26,9.27940845489502,8213.1240234375,0.0011298269000218067
27,8.56475830078125,8229.896484375,0.001040688460303481
28,7.829784393310547,8223.896484375,0.0009520772067336637
29,7.741744041442871,8203.6376953125,0.0009436964830695106
30,8.404531478881836,8216.9951171875,0.0010228229856559202
31,7.913393020629883,8207.439453125,0.0009641731828575162
32,8.376822471618652,8221.0048828125,0.0010189535939982128
33,9.134501457214355,8200.7060546875,0.0011138676836237901
34,8.907389640808105,8235.724609375,0.0010815550620364997
35,8.912586212158203,8220.587890625,0.0010841786902275419
36,7.8973588943481445,8234.8046875,0.0009590220040477607
37,6.992255210876465,8218.3916015625,0.0008508057963004684
38,7.725665092468262,8219.9423828125,0.0009398685212955083
39,6.864370346069336,8186.796875,0.0008384683840185464
40,8.189969062805176,8194.2978515625,0.000999471731582652
41,8.491037368774414,8209.8212890625,0.0010342536176867288
42,7.9324774742126465,8220.4228515625,0.0009649719506466603
43,7.729152202606201,8217.8876953125,0.0009405278447665969
44,7.527088165283203,8228.896484375,0.0009147141636276033
45,7.86698579788208,8219.6953125,0.0009570897093859986
46,8.669779777526855,8211.173828125,0.0010558514481609235
47,7.084516525268555,8237.13671875,0.0008600702849986982
48,7.958003520965576,8222.8876953125,0.0009677869643655814
49,8.954687118530273,8204.904296875,0.001091382275103543
50,9.415270805358887,8219.4208984375,0.0011454907738267443
51,8.460370063781738,8207.7783203125,0.0010307746790436734
52,8.689898490905762,8215.5537109375,0.001057737408415547
53,8.981279373168945,8238.259765625,0.0010901913302909278
54,7.500112533569336,8230.234375,0.0009112878433148309
55,7.782022476196289,8209.265625,0.0009479559843327994
56,8.084904670715332,8183.052734375,0.0009880059353342095
57,8.774604797363281,8209.712890625,0.0010688077542131045
58,9.056337356567383,8222.7646484375,0.0011013737767975981
59,8.359443664550781,8210.08203125,0.0010181924654019616
60,8.584959030151367,8213.654296875,0.0010452057902434041
61,7.5150651931762695,8244.1376953125,0.0009115647349569657
62,8.251622200012207,8241.453125,0.0010012338934479114
63,8.780313491821289,8204.9169921875,0.0010701282536047184
64,8.4954833984375,8226.2265625,0.0010327315123029716
65,8.049622535705566,8217.5478515625,0.0009795650334028776
66,8.114304542541504,8218.560546875,0.000987314566372193
67,7.766279697418213,8224.962890625,0.0009442327948093718
68,7.485872268676758,8219.724609375,0.0009107205684407909
69,7.463247299194336,8200.7119140625,0.0009100730982143676
70,8.473684310913086,8234.740234375,0.0010290165894414787
71,8.065807342529297,8226.666015625,0.000980446675142739
72,8.04025650024414,8211.34375,0.0009791645247154755
73,7.084162712097168,8205.2744140625,0.0008633669460165854
74,8.722929000854492,8219.0439453125,0.001061307015620639
75,8.950231552124023,8201.5859375,0.0010912805913794064
76,8.330392837524414,8236.4140625,0.001011410156690919
77,9.388535499572754,8221.365234375,0.0011419679374318034
78,7.839564323425293,8218.970703125,0.0009538377257439974
79,8.19687557220459,8238.5244140625,0.0009949446236043411
80,7.229433536529541,8240.0341796875,0.0008773547996136728
81,9.074564933776855,8232.3212890625,0.0011023093748580202
82,8.225861549377441,8213.451171875,0.0010015109820759559
83,9.238228797912598,8212.5771484375,0.0011248879165378963
84,8.052131652832031,8223.0556640625,0.0009792140515383517
85,8.988364219665527,8202.50390625,0.0010958073683837847
86,7.763137340545654,8227.2109375,0.0009435928408205657
87,8.099923133850098,8214.5546875,0.0009860453112784876
88,7.621366024017334,8228.13671875,0.0009262566100354194
89,8.747891426086426,8220.5244140625,0.0010641524780489408
90,8.749088287353516,8202.3603515625,0.0010666549520330288
91,7.838624954223633,8226.6220703125,0.0009528363995850694
92,8.233671188354492,8229.642578125,0.0010004895243251755
93,9.23292350769043,8245.232421875,0.0011197893564764817
94,8.27579402923584,8210.1162109375,0.001007999621029827
95,8.185822486877441,8219.3935546875,0.000995915627158294
96,7.761759281158447,8209.1083984375,0.0009455057607274135
97,8.491700172424316,8212.052734375,0.0010340532930187764
98,8.016353607177734,8239.8271484375,0.00097287885568059
99,8.205493927001953,8220.2958984375,0.0009981993383670824
100,8.273755073547363,8224.734375,0.0010059601558314597
101,7.877711296081543,8214.08984375,0.0009590485916191429
102,8.272188186645508,8222.9990234375,0.0010059819006505786
103,8.4000825881958,8222.384765625,0.0010216114701070297
104,8.497197151184082,8217.3818359375,0.0010340516384455753
105,7.563157558441162,8198.3310546875,0.000922524048857094
106,9.631386756896973,8229.43359375,0.0011703584028203002
107,9.571617126464844,8216.87890625,0.0011648726037795677
108,7.98295259475708,8209.767578125,0.0009723725451165913
109,9.182741165161133,8212.875,0.0011180909444209407
110,8.217554092407227,8205.3046875,0.0010014928641133688
111,7.5036234855651855,8231.44140625,0.0009115807445179414
112,8.031895637512207,8224.6357421875,0.000976565514787889
113,8.049612045288086,8209.1982421875,0.000980560075150909
114,7.434531211853027,8212.4814453125,0.0009052722080847428
115,8.457626342773438,8221.0048828125,0.0010287825470649747
116,8.638883590698242,8220.64453125,0.0010508766749198735
117,8.244640350341797,8220.42578125,0.001002945658745199
118,9.234025955200195,8238.720703125,0.0011208082283573066
119,8.642970085144043,8224.1337890625,0.0010509277094492998
120,8.267656326293945,8216.1943359375,0.0010062634826115725
121,6.804267883300781,8215.3486328125,0.0008282384823115364
122,8.63685417175293,8230.5419921875,0.001049366394090584
123,7.254809856414795,8216.220703125,0.0008829862437428759
124,8.125722885131836,8196.8876953125,0.0009913180693909762
125,8.335783004760742,8212.6015625,0.0010149990768848702
126,8.69797134399414,8231.0087890625,0.0010567321171558155
127,7.772005558013916,8222.5244140625,0.000945209179886643
128,7.917671203613281,8217.212890625,0.0009635470455738751
129,9.113142967224121,8201.267578125,0.001111187128137526
130,7.9851531982421875,8211.224609375,0.0009724680030217782
131,9.607146263122559,8192.0322265625,0.0011727427331122526
132,9.824654579162598,8223.5771484375,0.001194693550242829
133,8.057072639465332,8228.4697265625,0.0009791702354395402
134,8.163285255432129,8231.2783203125,0.0009917396712594952
135,8.162041664123535,8216.5908203125,0.0009933610961794382
136,8.235119819641113,8204.603515625,0.001003719412395492
137,7.813191890716553,8231.6318359375,0.0009491668294257123
138,8.062950134277344,8209.8837890625,0.000982102833784212
139,8.026727676391602,8209.9248046875,0.000977685894493053
140,7.639666557312012,8234.6279296875,0.0009277488457941698
141,8.02178955078125,8229.916015625,0.0009747109855740194
142,8.574396133422852,8233.203125,0.0010414411017489443
143,7.40027379989624,8238.404296875,0.0008982654326279326
144,9.033973693847656,8206.1083984375,0.0011008840311648562
145,8.645783424377441,8222.5712890625,0.0010514695610943368
146,8.909684181213379,8231.58984375,0.0010823770802888381
147,7.207925319671631,8229.7041015625,0.0008758425856773061
148,6.814062595367432,8217.4453125,0.0008292190986658826
149,9.240307807922363,8226.00390625,0.001123304573305844
150,8.734188079833984,8229.5087890625,0.0010613255667752896
151,9.124940872192383,8206.947265625,0.0011118556726217093
