Step,Grad_Norm,Noise_Norm,SNR
0,228.2372283935547,15816.3466796875,0.014430464443895473
1,245.3966064453125,15861.6376953125,0.015471076263318836
2,222.0402069091797,15823.1396484375,0.014032626384050504
3,215.58615112304688,15818.328125,0.01362888349637436
4,208.48989868164062,15757.5732421875,0.01323109183611179
5,192.5877227783203,15835.244140625,0.012161967385412163
6,177.85772705078125,15809.5166015625,0.011250042081185649
7,172.16285705566406,15816.720703125,0.010884864207132952
8,169.196533203125,15877.6328125,0.010656282029013888
9,163.66885375976562,15808.33984375,0.010353323332966801
10,156.32736206054688,15786.7998046875,0.009902409861061856
11,150.0979766845703,15820.310546875,0.009487675746935277
12,146.136962890625,15787.9521484375,0.009256232950078195
13,143.17910766601562,15835.4228515625,0.00904169778149549
14,138.1996612548828,15858.3017578125,0.008714657052530833
15,131.92507934570312,15776.70703125,0.008362016172601173
16,126.79058837890625,15821.837890625,0.008013644764622078
17,121.90784454345703,15816.1337890625,0.007707815713329466
18,117.00361633300781,15840.5009765625,0.007386358329583489
19,112.79034423828125,15817.009765625,0.007130952430933421
20,109.66261291503906,15824.779296875,0.006929803623655889
21,107.45304107666016,15830.7685546875,0.006787607354972242
22,105.25020599365234,15827.673828125,0.0066497583369849265
23,102.88420867919922,15796.44140625,0.006513125711876612
24,99.92406463623047,15815.890625,0.006317953696409712
25,97.11732482910156,15822.8759765625,0.006137779565039615
26,94.7217788696289,15806.388671875,0.0059926261991881495
27,92.1799545288086,15838.669921875,0.00581993027088074
28,88.91968536376953,15827.1220703125,0.005618184087336975
29,85.7248764038086,15788.1318359375,0.005429703608673866
30,82.97164916992188,15813.8408203125,0.0052467740198413266
31,81.47956085205078,15795.4501953125,0.00515841966164604
32,81.32917022705078,15821.5576171875,0.0051404022407187085
33,81.67084503173828,15782.490234375,0.005174775578435358
34,80.95315551757812,15849.884765625,0.005107491739823129
35,80.486572265625,15820.7529296875,0.005087404665462709
36,79.7943344116211,15848.115234375,0.0050349415833716915
37,79.58061981201172,15816.5283203125,0.0050314846722595685
38,79.70378875732422,15819.5107421875,0.0050383219845586006
39,79.36500549316406,15755.7216796875,0.0050372180409535006
40,78.47932434082031,15770.1591796875,0.004976444653894448
41,76.9509048461914,15800.0322265625,0.004870300499566327
42,75.45964813232422,15820.435546875,0.0047697579443209265
43,74.18042755126953,15815.5576171875,0.004690345376798743
44,72.92692565917969,15836.744140625,0.0046049191053169096
45,71.59088897705078,15819.03515625,0.004525616655499098
46,70.86320495605469,15802.63671875,0.0044842646336338745
47,69.91209411621094,15852.603515625,0.004410133265952347
48,69.5711898803711,15825.1806640625,0.004396233531687934
49,69.16339111328125,15790.5703125,0.004380043896104924
50,68.90192413330078,15818.5078125,0.0043557789995117965
51,68.7110366821289,15796.1015625,0.004349873062683336
52,68.79288482666016,15811.064453125,0.00435093317281769
53,68.62980651855469,15854.763671875,0.004328655282342563
54,68.59770965576172,15839.318359375,0.004330849857257904
55,68.169677734375,15798.96484375,0.004314819256107315
56,67.84341430664062,15748.5166015625,0.00430792410631929
57,67.43897247314453,15799.8251953125,0.004268336620151491
58,66.23889923095703,15824.9423828125,0.004185727671457384
59,65.51979064941406,15800.53515625,0.004146681742200188
60,65.22277069091797,15807.4091796875,0.004126088592350045
61,65.11194610595703,15866.076171875,0.004103846811310393
62,64.96837615966797,15860.91015625,0.004096131654466698
63,65.01155090332031,15790.5947265625,0.004117105912037606
64,65.09028625488281,15831.6044921875,0.00411141437287694
65,64.99006652832031,15814.904296875,0.0041094188942491575
66,65.29627227783203,15816.8525390625,0.004128272177828769
67,65.56301879882812,15829.1728515625,0.00414191059846544
68,65.62659454345703,15819.091796875,0.0041485690446793734
69,65.6367416381836,15782.501953125,0.004158829939202843
70,65.60093688964844,15847.9912109375,0.004139384986809805
