,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.008500000461935997,2023-12-13 13:39:48.185672,2023-12-13 13:53:18.557746,0 days 00:13:30.372074,256,75,0.01574189004745665,6.0909271150834465,COMPLETE
1,1,0.012500000186264515,2023-12-13 13:53:18.725027,2023-12-13 14:17:44.255980,0 days 00:24:25.530953,512,142,6.690421166498795e-06,5.342613029995931,COMPLETE
2,2,0.02199999988079071,2023-12-13 14:17:44.421264,2023-12-13 14:31:53.695806,0 days 00:14:09.274542,512,87,0.005141096648805749,2.1568030651519257,COMPLETE
3,3,0.013000000268220901,2023-12-13 14:31:53.861077,2023-12-13 14:46:23.301874,0 days 00:14:29.440797,4500,103,0.06220025976819164,8.12229401154132,COMPLETE
4,4,0.008999999612569809,2023-12-13 14:46:23.432416,2023-12-13 14:56:26.575568,0 days 00:10:03.143152,512,61,0.02857080075040725,2.736043819680166,COMPLETE
5,5,0.009499999694526196,2023-12-13 14:56:26.728764,2023-12-13 15:14:41.631938,0 days 00:18:14.903174,4096,133,0.04335045392775135,8.96930803419096,COMPLETE
6,6,0.004999999888241291,2023-12-13 15:14:41.778626,2023-12-13 15:35:51.602144,0 days 00:21:09.823518,256,120,4.247116662617139e-06,8.321627589688907,COMPLETE
7,7,0.06799999624490738,2023-12-13 15:35:51.774282,2023-12-13 15:45:59.626479,0 days 00:10:07.852197,4500,72,0.004300001586162603,2.14741367903489,COMPLETE
8,8,0.009000000543892384,2023-12-13 15:45:59.780651,2023-12-13 15:46:41.243194,0 days 00:00:41.462543,256,2,4.956947932799961e-07,8.658413573580816,COMPLETE
9,9,0.0044999998062849045,2023-12-13 15:46:41.406314,2023-12-13 16:03:48.537802,0 days 00:17:07.131488,4096,125,0.021051180519608702,4.827706266587104,COMPLETE
10,10,0.04500000178813934,2023-12-13 16:03:48.757166,2023-12-13 16:13:21.229118,0 days 00:09:32.471952,4500,67,0.0026925707841228873,1.0904000013914439,COMPLETE
11,11,0.05299999937415123,2023-12-13 16:13:21.375640,2023-12-13 16:23:59.283122,0 days 00:10:37.907482,4500,75,0.006977489249232697,3.2629780682465004,COMPLETE
12,12,0.04800000041723251,2023-12-13 16:23:59.439629,2023-12-13 16:39:53.894905,0 days 00:15:54.455276,4500,113,0.005333780748096726,2.207014295344081,COMPLETE
13,13,0.04599999636411667,2023-12-13 16:39:54.037848,2023-12-13 16:48:13.578379,0 days 00:08:19.540531,4500,58,0.0026852707250131324,2.6531699213232494,COMPLETE
14,14,0.006000000052154064,2023-12-13 16:48:13.730273,2023-12-13 16:58:20.747899,0 days 00:10:07.017626,4500,71,0.09013930271114881,1.8452571926895505,COMPLETE
15,15,0.054999999701976776,2023-12-13 16:58:20.927917,2023-12-13 17:08:53.298413,0 days 00:10:32.370496,4500,68,0.005932494442618114,1.7921245164010275,COMPLETE
16,16,0.05299999937415123,2023-12-13 17:08:53.469467,2023-12-13 17:19:31.164259,0 days 00:10:37.694792,4500,75,0.0050164706365978876,2.364480663314899,COMPLETE
17,17,0.04999999701976776,2023-12-13 17:19:31.370626,2023-12-13 17:29:54.660805,0 days 00:10:23.290179,4500,73,0.0050820145318145465,2.302585291944006,COMPLETE
18,18,0.03350000083446503,2023-12-13 17:29:54.811626,2023-12-13 17:40:25.358242,0 days 00:10:30.546616,4500,74,0.004937647506045137,2.3485166329772884,COMPLETE
19,19,0.06000000238418579,2023-12-13 17:40:25.537399,2023-12-13 17:52:11.090534,0 days 00:11:45.553135,4500,83,0.0036405984988597574,2.4516970899699277,COMPLETE
