Step,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8892794251441956,0.34205231070518494,0.21990740299224854,0.05390835553407669,0.05245901644229889,0.08239700645208359,0.04694835841655731,0.057591624557971954,0.006493506487458944,0.0,0.0,0.0,0.0,0.07058823853731155,0.020408162847161293
2,0.911347508430481,0.7973568439483643,0.7339901328086853,0.25153374671936035,0.16551724076271057,0.2454545497894287,0.07547169923782349,0.13750000298023224,0.04109589010477066,0.0,0.017241379246115685,0.0,0.03448275849223137,0.12903225421905518,0.0
3,0.9145907759666443,0.8459869623184204,0.7596899271011353,0.2752293646335602,0.2241992950439453,0.28333333134651184,0.1179245263338089,0.22857142984867096,0.04054053872823715,0.0,0.008695651777088642,0.0,0.014925372786819935,0.1492537260055542,0.0
4,0.931034505367279,0.9604743123054504,0.8457711338996887,0.4046242833137512,0.4296296238899231,0.33070865273475647,0.25925925374031067,0.3103448152542114,0.012820512987673283,0.0,0.016129031777381897,0.0,0.0,0.15789473056793213,0.0
5,0.9431034326553345,0.9639278650283813,0.8439024686813354,0.4683907926082611,0.4320557415485382,0.3686440587043762,0.2805429995059967,0.36666667461395264,0.007092198356986046,0.0,0.04958677664399147,0.0,0.0,0.1527777761220932,0.0
6,0.9696969985961914,0.9590908885002136,0.8877550959587097,0.6894409656524658,0.5625,0.4793388545513153,0.37168142199516296,0.47191011905670166,0.011904762126505375,0.0,0.07547169923782349,0.0,0.0,0.12121212482452393,0.0
7,0.9702970385551453,0.9728600978851318,0.8716707229614258,0.6985507011413574,0.6019417643547058,0.4655870497226715,0.375,0.4748603403568268,0.011834319680929184,0.0,0.08849557489156723,0.0,0.024390242993831635,0.07246376574039459,0.016949152573943138
8,0.9688715934753418,0.9907833933830261,0.8445596098899841,0.7807486653327942,0.6571428775787354,0.4601770043373108,0.4423076808452606,0.5340909361839294,0.01515151560306549,0.0,0.13333334028720856,0.0,0.029411764815449715,0.03999999910593033,0.0357142873108387
9,0.964083194732666,0.9910714030265808,0.847328245639801,0.79076087474823,0.701438844203949,0.4780701696872711,0.4883720874786377,0.5614035129547119,0.013333333656191826,0.0,0.15789473056793213,0.0,0.054794520139694214,0.04918032884597778,0.03703703731298447
