,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.7266666889190674,2023-12-19 17:03:27.770754,2023-12-19 17:06:24.089830,0 days 00:02:56.319076,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.07111111283302307,2023-12-19 17:06:24.243046,2023-12-19 17:10:19.586966,0 days 00:03:55.343920,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.6822222471237183,2023-12-19 17:10:19.738065,2023-12-19 17:10:52.036624,0 days 00:00:32.298559,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.12444444745779037,2023-12-19 17:10:52.166967,2023-12-19 17:15:28.440522,0 days 00:04:36.273555,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.12222221493721008,2023-12-19 17:15:28.571704,2023-12-19 17:20:52.794011,0 days 00:05:24.222307,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.09555555880069733,2023-12-19 17:20:52.924337,2023-12-19 17:22:12.826049,0 days 00:01:19.901712,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.08222222328186035,2023-12-19 17:22:12.959761,2023-12-19 17:25:05.589259,0 days 00:02:52.629498,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.10222222656011581,2023-12-19 17:25:05.736588,2023-12-19 17:26:07.902887,0 days 00:01:02.166299,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.9311111569404602,2023-12-19 17:26:08.033976,2023-12-19 17:29:10.457595,0 days 00:03:02.423619,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.9177777767181396,2023-12-19 17:29:10.605944,2023-12-19 17:32:33.357010,0 days 00:03:22.751066,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.9399999976158142,2023-12-19 17:32:33.518062,2023-12-19 17:36:41.124402,0 days 00:04:07.606340,126,0.0017286359109642327,0.2,COMPLETE
11,11,0.9377777576446533,2023-12-19 17:36:41.268123,2023-12-19 17:39:05.163779,0 days 00:02:23.895656,71,0.0014423996227541903,0.2,COMPLETE
12,12,0.9288888573646545,2023-12-19 17:39:05.309599,2023-12-19 17:42:37.349813,0 days 00:03:32.040214,107,0.0013318187441383929,1.9957399098154998,COMPLETE
13,13,0.6822222471237183,2023-12-19 17:42:37.493697,2023-12-19 17:46:38.663537,0 days 00:04:01.169840,122,0.052709795238922635,0.2,COMPLETE
14,14,0.9333333969116211,2023-12-19 17:46:38.792768,2023-12-19 17:50:00.964775,0 days 00:03:22.172007,102,0.0010682543131745438,0.2,COMPLETE
15,15,0.9177777767181396,2023-12-19 17:50:01.137300,2023-12-19 17:56:06.167829,0 days 00:06:05.030529,189,0.0045049374318239495,3.6597428485579395,COMPLETE
16,16,0.9377777576446533,2023-12-19 17:56:06.296082,2023-12-19 18:00:37.557533,0 days 00:04:31.261451,138,0.0035356519557326323,1.7866213291258684,COMPLETE
17,17,0.9311110973358154,2023-12-19 18:00:37.703057,2023-12-19 18:07:06.121389,0 days 00:06:28.418332,200,0.0006299998924868865,0.20359975665761149,COMPLETE
18,18,0.902222216129303,2023-12-19 18:07:06.276111,2023-12-19 18:13:34.402197,0 days 00:06:28.126086,200,0.006610739383341184,9.92200857971402,COMPLETE
19,19,0.9444444179534912,2023-12-19 18:13:34.551960,2023-12-19 18:20:04.832903,0 days 00:06:30.280943,200,0.0012018909367008431,6.516993963791423,COMPLETE
