,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,state
0,0,0.2477777898311615,2024-09-23 12:09:34.625780,2024-09-23 12:11:40.736644,0 days 00:02:06.110864,263,1.7670169402947936e-05,COMPLETE
1,1,0.25111111998558044,2024-09-23 12:11:40.953992,2024-09-23 12:12:15.543198,0 days 00:00:34.589206,236,0.002465832945854913,COMPLETE
2,2,0.20333334803581238,2024-09-23 12:12:15.672272,2024-09-23 12:12:50.741593,0 days 00:00:35.069321,203,8.632008168602531e-07,COMPLETE
3,3,0.2477777898311615,2024-09-23 12:12:50.885415,2024-09-23 12:13:21.696725,0 days 00:00:30.811310,256,2.2310108018679224e-07,COMPLETE
4,4,0.22555556893348694,2024-09-23 12:13:21.850328,2024-09-23 12:13:56.505654,0 days 00:00:34.655326,245,0.0004042872735027335,COMPLETE
5,5,0.2477777898311615,2024-09-23 12:13:56.631686,2024-09-23 12:14:31.732697,0 days 00:00:35.101011,264,1.3289448722869174e-07,COMPLETE
6,6,0.226666659116745,2024-09-23 12:14:31.873357,2024-09-23 12:15:07.385430,0 days 00:00:35.512073,207,0.00987770029400792,COMPLETE
7,7,0.22555556893348694,2024-09-23 12:15:07.510994,2024-09-23 12:15:43.995658,0 days 00:00:36.484664,205,1.2329623163659828e-06,COMPLETE
8,8,0.22555556893348694,2024-09-23 12:15:44.195659,2024-09-23 12:16:19.867363,0 days 00:00:35.671704,231,6.690421166498795e-06,COMPLETE
9,9,0.22555556893348694,2024-09-23 12:16:19.992228,2024-09-23 12:16:55.188307,0 days 00:00:35.196079,213,3.905441275210791e-05,COMPLETE
10,10,0.0833333358168602,2024-09-23 12:16:55.322929,2024-09-23 12:17:30.210336,0 days 00:00:34.887407,266,0.09999999999999999,COMPLETE
11,11,0.14666667580604553,2024-09-23 12:17:30.338881,2024-09-23 12:18:06.118800,0 days 00:00:35.779919,226,0.015989940561372425,COMPLETE
12,12,0.20666667819023132,2024-09-23 12:18:06.246123,2024-09-23 12:18:43.000975,0 days 00:00:36.754852,200,0.002726196918838126,COMPLETE
13,13,0.2477777898311615,2024-09-23 12:18:43.129628,2024-09-23 12:19:19.130309,0 days 00:00:36.000681,260,1.71459232710874e-06,COMPLETE
14,14,0.22555556893348694,2024-09-23 12:19:19.261150,2024-09-23 12:19:54.779231,0 days 00:00:35.518081,238,0.00015647716835002066,COMPLETE
15,15,0.08888889104127884,2024-09-23 12:19:54.957723,2024-09-23 12:20:30.900472,0 days 00:00:35.942749,240,0.024944834072896105,COMPLETE
16,16,0.25111111998558044,2024-09-23 12:20:31.029060,2024-09-23 12:21:04.914107,0 days 00:00:33.885047,262,0.0018285749711420107,COMPLETE
17,17,0.2477777898311615,2024-09-23 12:21:05.042475,2024-09-23 12:21:40.808124,0 days 00:00:35.765649,266,4.946915832835908e-07,COMPLETE
18,18,0.2477777898311615,2024-09-23 12:21:40.943891,2024-09-23 12:22:16.401685,0 days 00:00:35.457794,266,5.309132173214495e-05,COMPLETE
19,19,0.20333334803581238,2024-09-23 12:22:16.530989,2024-09-23 12:22:51.629587,0 days 00:00:35.098598,192,4.864195359689511e-06,COMPLETE
