,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.0020000000949949026,2023-12-19 16:53:51.304705,2023-12-19 17:05:56.705061,0 days 00:12:05.400356,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.006500000134110451,2023-12-19 17:05:56.833544,2023-12-19 17:24:24.368741,0 days 00:18:27.535197,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.007499999832361937,2023-12-19 17:24:24.506334,2023-12-19 17:26:35.065348,0 days 00:02:10.559014,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.014000000432133675,2023-12-19 17:26:35.221680,2023-12-19 17:48:39.835153,0 days 00:22:04.613473,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.007499999832361937,2023-12-19 17:48:39.966355,2023-12-19 18:14:20.974390,0 days 00:25:41.008035,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.010999999940395355,2023-12-19 18:14:21.123738,2023-12-19 18:20:22.467976,0 days 00:06:01.344238,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.018000001087784767,2023-12-19 18:20:22.657733,2023-12-19 18:34:01.880367,0 days 00:13:39.222634,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.008999999612569809,2023-12-19 18:34:02.052414,2023-12-19 18:38:42.130101,0 days 00:04:40.077687,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.010999999940395355,2023-12-19 18:38:42.313397,2023-12-19 18:53:13.485946,0 days 00:14:31.172549,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.010500000789761543,2023-12-19 18:53:13.649546,2023-12-19 19:09:19.773848,0 days 00:16:06.124302,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.00800000037997961,2023-12-19 19:09:19.905242,2023-12-19 19:26:04.797705,0 days 00:16:44.892463,107,3.115592548567164e-06,7.333399712821698,COMPLETE
11,11,0.010999999940395355,2023-12-19 19:26:04.995352,2023-12-19 19:33:30.439763,0 days 00:07:25.444411,46,0.00044184415211997183,9.097568699811264,COMPLETE
12,12,0.007000000216066837,2023-12-19 19:33:30.704086,2023-12-19 19:41:12.231660,0 days 00:07:41.527574,48,1.0547383621352028e-06,9.67803545354099,COMPLETE
13,13,0.009499999694526196,2023-12-19 19:41:12.433495,2023-12-19 20:12:11.594716,0 days 00:30:59.161221,200,2.4564592152507494e-07,9.999999999999998,COMPLETE
14,14,0.013000000268220901,2023-12-19 20:12:11.785879,2023-12-19 20:30:01.212840,0 days 00:17:49.426961,114,6.287010557155345e-05,5.276799603809522,COMPLETE
15,15,0.007499999832361937,2023-12-19 20:30:01.345731,2023-12-19 20:45:20.209431,0 days 00:15:18.863700,98,0.04935296209402105,5.791034425624595,COMPLETE
16,16,0.01599999889731407,2023-12-19 20:45:20.399568,2023-12-19 21:15:05.048245,0 days 00:29:44.648677,192,3.514997537428599e-05,6.161015672712404,COMPLETE
17,17,0.004000000189989805,2023-12-19 21:15:05.230563,2023-12-19 21:42:36.001850,0 days 00:27:30.771287,177,5.298982009573733e-06,5.52533215835779,COMPLETE
18,18,0.028999999165534973,2023-12-19 21:42:36.189818,2023-12-19 22:13:42.656343,0 days 00:31:06.466525,200,0.00035274242924483376,7.790162717945331,COMPLETE
19,19,0.03199999779462814,2023-12-19 22:13:42.822239,2023-12-19 22:44:35.500946,0 days 00:30:52.678707,200,0.0006114840402933218,8.740234414719279,COMPLETE
