Step,Clipped_Mean_vs_Unclipped_Mean,Clipped_Mean_vs_Unclipped_Median,Unclipped_Mean_vs_Unclipped_Median
0,0.9992486238479614,0.982826828956604,0.9833613634109497
1,0.9993375539779663,0.983189046382904,0.9834578037261963
2,0.9993788003921509,0.9827737212181091,0.9830045104026794
3,0.999415397644043,0.9819628000259399,0.9819087982177734
4,0.9993059635162354,0.9816374182701111,0.9812497496604919
5,0.999040424823761,0.9808986783027649,0.980011522769928
6,0.9988192319869995,0.9798265695571899,0.9786167740821838
7,0.9984061121940613,0.9773401021957397,0.9749680757522583
8,0.9978547692298889,0.9755910634994507,0.9728277325630188
9,0.9972141981124878,0.9724516868591309,0.9684808254241943
10,0.9967533946037292,0.9699031114578247,0.9641913175582886
11,0.996403694152832,0.9686165452003479,0.9614461660385132
12,0.9959104061126709,0.9650248289108276,0.9557890892028809
13,0.9956600666046143,0.9630067348480225,0.9531242847442627
14,0.9953582286834717,0.9616303443908691,0.9503945708274841
15,0.9947859644889832,0.9581047296524048,0.9457522630691528
16,0.994403600692749,0.9576314091682434,0.9427106976509094
17,0.9935958981513977,0.9544904232025146,0.9366558790206909
18,0.9935517311096191,0.950588047504425,0.9313567876815796
19,0.9933226108551025,0.9492403268814087,0.9274452328681946
20,0.9932330846786499,0.9471901059150696,0.9242923855781555
21,0.9931607246398926,0.9422814249992371,0.9195007681846619
22,0.9928802251815796,0.9365561008453369,0.9147307872772217
23,0.9930316209793091,0.9318404197692871,0.9101270437240601
24,0.9930208325386047,0.9294945597648621,0.9083951115608215
25,0.9933767914772034,0.9294837713241577,0.9083600044250488
26,0.993531346321106,0.9274755716323853,0.9058274626731873
27,0.9930875301361084,0.9253584742546082,0.9011865258216858
28,0.9935418367385864,0.9272977113723755,0.9071347713470459
29,0.9933874607086182,0.9288272857666016,0.9085273146629333
30,0.993446409702301,0.9312446117401123,0.90938401222229
31,0.9934304356575012,0.9309722185134888,0.9087947010993958
32,0.9934587478637695,0.9313032031059265,0.9091023206710815
33,0.9933760166168213,0.9321919679641724,0.910021960735321
34,0.9931539297103882,0.9332104325294495,0.9108405113220215
35,0.9929254055023193,0.9320350289344788,0.9089810252189636
36,0.9927049279212952,0.9305429458618164,0.9064403772354126
37,0.9927478432655334,0.9304746389389038,0.9065600037574768
38,0.9932233095169067,0.9294885993003845,0.9085808992385864
39,0.9935849905014038,0.9327596426010132,0.9135249853134155
