,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,state
0,0,0.27000004053115845,2024-09-23 12:09:34.563655,2024-09-23 12:11:40.945169,0 days 00:02:06.381514,263,1.7670169402947936e-05,COMPLETE
1,1,0.2644444704055786,2024-09-23 12:11:41.096950,2024-09-23 12:12:15.057772,0 days 00:00:33.960822,236,0.002465832945854913,COMPLETE
2,2,0.22555556893348694,2024-09-23 12:12:15.191325,2024-09-23 12:12:50.134648,0 days 00:00:34.943323,203,8.632008168602531e-07,COMPLETE
3,3,0.27000004053115845,2024-09-23 12:12:50.266825,2024-09-23 12:13:24.177728,0 days 00:00:33.910903,256,2.2310108018679224e-07,COMPLETE
4,4,0.2644444704055786,2024-09-23 12:13:24.325641,2024-09-23 12:13:58.051978,0 days 00:00:33.726337,245,0.0004042872735027335,COMPLETE
5,5,0.27000004053115845,2024-09-23 12:13:58.203933,2024-09-23 12:14:31.839361,0 days 00:00:33.635428,264,1.3289448722869174e-07,COMPLETE
6,6,0.24000000953674316,2024-09-23 12:14:31.981261,2024-09-23 12:15:06.804381,0 days 00:00:34.823120,207,0.00987770029400792,COMPLETE
7,7,0.22555556893348694,2024-09-23 12:15:06.964481,2024-09-23 12:15:41.780049,0 days 00:00:34.815568,205,1.2329623163659828e-06,COMPLETE
8,8,0.2477777898311615,2024-09-23 12:15:41.911069,2024-09-23 12:16:16.024734,0 days 00:00:34.113665,231,6.690421166498795e-06,COMPLETE
9,9,0.2644444704055786,2024-09-23 12:16:16.153274,2024-09-23 12:16:51.051947,0 days 00:00:34.898673,213,3.905441275210791e-05,COMPLETE
10,10,0.27000004053115845,2024-09-23 12:16:51.186382,2024-09-23 12:17:26.988244,0 days 00:00:35.801862,266,1.511848483404732e-06,COMPLETE
11,11,0.08000000566244125,2024-09-23 12:17:27.128037,2024-09-23 12:18:01.147066,0 days 00:00:34.019029,262,0.02028200670347795,COMPLETE
12,12,0.2644444704055786,2024-09-23 12:18:01.282234,2024-09-23 12:18:36.138751,0 days 00:00:34.856517,227,0.0004135461305054702,COMPLETE
13,13,0.2477777898311615,2024-09-23 12:18:36.268664,2024-09-23 12:19:10.558816,0 days 00:00:34.290152,252,1.0815388666802092e-05,COMPLETE
14,14,0.22555556893348694,2024-09-23 12:19:10.687106,2024-09-23 12:19:46.665620,0 days 00:00:35.978514,194,0.0001727808648826073,COMPLETE
15,15,0.2644444704055786,2024-09-23 12:19:46.809175,2024-09-23 12:20:21.432814,0 days 00:00:34.623639,239,0.000468940096353769,COMPLETE
16,16,0.27000004053115845,2024-09-23 12:20:21.562557,2024-09-23 12:20:55.301727,0 days 00:00:33.739170,266,7.220612163433549e-05,COMPLETE
17,17,0.06888888776302338,2024-09-23 12:20:55.435979,2024-09-23 12:21:24.619073,0 days 00:00:29.183094,224,0.04085327735328024,COMPLETE
18,18,0.2200000137090683,2024-09-23 12:21:24.756559,2024-09-23 12:22:00.741878,0 days 00:00:35.985319,192,0.0031920988076170145,COMPLETE
19,19,0.27000004053115845,2024-09-23 12:22:00.870135,2024-09-23 12:22:34.972969,0 days 00:00:34.102834,266,3.502095476526871e-05,COMPLETE
