Step,Grad_Norm,Noise_Norm,SNR
0,63.992897033691406,36005.90234375,0.0017772890795166938
1,63.963645935058594,36136.0546875,0.0017700782912857549
2,64.26685333251953,36012.95703125,0.0017845480802021452
3,64.34405517578125,36097.39453125,0.001782512450312106
4,64.4305648803711,35938.76953125,0.0017927871688635999
5,64.66383361816406,36135.125,0.001789500759113579
6,64.99971771240234,35937.44140625,0.0018086907461669775
7,65.1748046875,36015.10546875,0.0018096519179723524
8,65.41324615478516,36209.62109375,0.0018065156215091099
9,65.68824768066406,35877.5234375,0.001830902509062407
10,66.04290771484375,35887.9375,0.0018402536427412066
11,66.45050811767578,36174.40234375,0.001836948333968998
12,66.75174713134766,35954.4921875,0.0018565620891888076
13,66.92317199707031,36023.64453125,0.0018577568390953727
14,66.93946075439453,36224.55078125,0.0018479031295273569
15,66.82223510742188,35996.2578125,0.0018563661660467743
16,66.6458740234375,35998.890625,0.001851331329003628
17,66.41040802001953,36074.1171875,0.001840943402019865
18,66.14732360839844,36255.875,0.0018244580666829427
19,65.94904327392578,36068.41015625,0.0018284433105931622
20,65.73355865478516,36186.25,0.0018165341436259673
21,65.59626770019531,36171.6875,0.001813469932808507
22,65.42377471923828,36125.16796875,0.0018110303258889475
23,65.246337890625,35859.65625,0.0018194914484330842
24,65.0348892211914,36085.8671875,0.0018022260316836512
25,64.82389068603516,36162.74609375,0.001792559959854339
26,64.66663360595703,36058.7578125,0.0017933683113049426
27,64.48746490478516,36046.4375,0.0017890107699210264
28,64.27809143066406,36154.09375,0.0017778924808664043
29,64.07206726074219,36064.71484375,0.0017765859937707465
30,63.86322021484375,36036.42578125,0.001772185194017555
31,63.633567810058594,36051.0078125,0.001765098167047493
32,63.323219299316406,36195.6953125,0.0017494682379384505
33,62.98012161254883,36008.796875,0.0017490204360666752
34,62.65461349487305,35970.546875,0.0017418309961369763
35,62.33096694946289,35926.2421875,0.0017349704047575011
36,62.03226852416992,36132.3828125,0.0017168053611651057
37,61.78478240966797,35924.89453125,0.0017198319776811932
38,61.560176849365234,36030.953125,0.0017085358978930767
39,61.31808090209961,35845.92578125,0.0017106011231595357
40,61.11592102050781,36026.96875,0.0016963936501182273
41,60.94955825805664,35929.0546875,0.0016963863588446001
42,60.812095642089844,35976.3515625,0.0016903352619412752
43,60.72657775878906,36161.33984375,0.0016793232225681713
44,60.636592864990234,36245.34375,0.0016729484836239203
45,60.58382797241211,36002.8671875,0.0016827500892330732
46,60.56301498413086,36074.6328125,0.001678825542006502
47,60.593143463134766,36199.15625,0.001673882756953341
48,60.607940673828125,36072.0546875,0.0016801909732863237
49,60.60444259643555,35928.625,0.0016868010561616412
50,60.62793731689453,36110.71875,0.0016789457373205714
51,60.6617546081543,36014.1875,0.00168438492769424
52,60.675926208496094,36083.86328125,0.0016815252218302437
53,60.71579360961914,36122.04296875,0.0016808515969638194
54,60.751243591308594,36006.015625,0.0016872526031213317
55,60.69752883911133,35965.859375,0.0016876429451120637
56,60.66389846801758,35750.73046875,0.0016968575934705552
57,60.61998748779297,36085.9765625,0.001679876596461251
58,60.559818267822266,36050.359375,0.0016798672556318246
59,60.42536163330078,35973.5625,0.0016797158088888411
60,60.27897644042969,36039.45703125,0.0016725828135579698
61,60.1326789855957,36058.3828125,0.0016676476950804933
62,59.95654296875,36184.33984375,0.0016569749020612875
63,59.81621170043945,35983.38671875,0.0016623285675683994
64,59.66819381713867,35982.65234375,0.0016582489041417961
65,59.561397552490234,36109.48828125,0.0016494666744811704
66,59.44605255126953,36125.84765625,0.001645526857028225
67,59.35781478881836,36012.51953125,0.001648254983584539
68,59.3208122253418,36124.36328125,0.0016421275515223182
69,59.32659912109375,36050.91015625,0.0016456338789773532
70,59.28590393066406,36216.14453125,0.0016370020800946315
71,59.28858947753906,36083.9140625,0.0016430753430696807
72,59.22542953491211,35990.859375,0.0016455686405768717
73,59.15163040161133,35907.70703125,0.0016473240786478638
74,59.10053634643555,36244.46875,0.0016306084317054736
75,59.06555938720703,35986.14453125,0.0016413416929372665
76,59.02384567260742,35963.8046875,0.001641201374145001
77,58.98428726196289,36147.1015625,0.0016317846995277435
78,59.05204772949219,36084.51953125,0.0016364925595961392
79,59.09761428833008,36000.65625,0.0016415704724363205
80,59.098052978515625,36145.0390625,0.0016350252900910287
81,59.08475875854492,36124.26171875,0.0016355976827583847
82,59.10826873779297,36097.1796875,0.0016374760923015107
83,59.067283630371094,36091.23828125,0.0016366100594852001
84,58.98222351074219,36029.40625,0.0016370578827049694
85,58.898956298828125,36091.796875,0.0016319208628713675
86,58.782508850097656,36154.0078125,0.0016258919109314904
87,58.68434524536133,36059.1875,0.0016274450234177165
88,58.54206848144531,36257.37109375,0.0016146252945387074
89,58.34528350830078,35954.08203125,0.0016227721641617536
90,58.14276885986328,35865.56640625,0.0016211306466285505
91,57.96489715576172,36044.62890625,0.0016081424310547092
92,57.79710388183594,36058.41015625,0.0016028744370976647
93,57.63443374633789,36153.86328125,0.0015941431569286282
94,57.48920822143555,36016.984375,0.001596169396717727
95,57.41237258911133,36090.65234375,0.0015907823455857738
96,57.326053619384766,35843.7734375,0.001599330877351486
97,57.21012496948242,36091.86328125,0.0015851252822184862
98,57.139183044433594,36158.8359375,0.001580227392917123
99,57.11137390136719,36107.6953125,0.0015816953534997843
100,57.070037841796875,36113.05078125,0.00158031616291548
101,57.01238250732422,36191.64453125,0.0015752912929418383
102,56.93031692504883,35906.40234375,0.0015855199409850742
