,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,state
0,0,0.3641481399536133,2024-09-24 09:32:05.160852,2024-09-24 09:35:38.179133,0 days 00:03:33.018281,2584,1.7670169402947936e-05,COMPLETE
1,1,0.7411266565322876,2024-09-24 09:35:38.313673,2024-09-24 09:37:31.567069,0 days 00:01:53.253396,1698,0.002465832945854913,COMPLETE
2,2,0.37187302112579346,2024-09-24 09:37:31.694830,2024-09-24 09:39:27.187915,0 days 00:01:55.493085,584,8.632008168602531e-07,COMPLETE
3,3,0.36732277274131775,2024-09-24 09:39:27.318642,2024-09-24 09:41:18.929511,0 days 00:01:51.610869,2372,2.2310108018679224e-07,COMPLETE
4,4,0.5118095278739929,2024-09-24 09:41:19.055586,2024-09-24 09:43:09.092267,0 days 00:01:50.036681,1974,0.0004042872735027335,COMPLETE
5,5,0.3641481399536133,2024-09-24 09:43:09.228634,2024-09-24 09:45:02.824001,0 days 00:01:53.595367,2633,1.3289448722869174e-07,COMPLETE
6,6,0.6811966896057129,2024-09-24 09:45:02.949784,2024-09-24 09:46:59.152383,0 days 00:01:56.202599,726,0.00987770029400792,COMPLETE
7,7,0.37453970313072205,2024-09-24 09:46:59.280855,2024-09-24 09:48:51.556782,0 days 00:01:52.275927,653,1.2329623163659828e-06,COMPLETE
8,8,0.3852275311946869,2024-09-24 09:48:51.682496,2024-09-24 09:50:40.728297,0 days 00:01:49.045801,1512,6.690421166498795e-06,COMPLETE
9,9,0.3813968300819397,2024-09-24 09:50:40.853498,2024-09-24 09:52:35.898516,0 days 00:01:55.045018,925,3.905441275210791e-05,COMPLETE
10,10,0.7389402985572815,2024-09-24 09:52:36.029048,2024-09-24 09:54:28.896104,0 days 00:01:52.867056,2708,0.003931859870668763,COMPLETE
11,11,0.7207299470901489,2024-09-24 09:54:29.030421,2024-09-24 09:56:36.304928,0 days 00:02:07.274507,192,0.0033707257113892173,COMPLETE
12,12,0.06666667014360428,2024-09-24 09:56:36.431577,2024-09-24 09:58:27.914436,0 days 00:01:51.482859,2708,0.09999999999999999,COMPLETE
13,13,0.7206822633743286,2024-09-24 09:58:28.042342,2024-09-24 10:00:24.103460,0 days 00:01:56.061118,1766,0.0038011967259580426,COMPLETE
14,14,0.7389402985572815,2024-09-24 10:00:24.235292,2024-09-24 10:02:16.015048,0 days 00:01:51.779756,2708,0.003946572423882565,COMPLETE
15,15,0.7306069731712341,2024-09-24 10:02:16.151119,2024-09-24 10:04:06.761909,0 days 00:01:50.610790,2708,0.003947237603634339,COMPLETE
16,16,0.6814776659011841,2024-09-24 10:04:06.896835,2024-09-24 10:06:13.151253,0 days 00:02:06.254418,192,0.003989812674639875,COMPLETE
17,17,0.7353712320327759,2024-09-24 10:06:13.293681,2024-09-24 10:08:04.603377,0 days 00:01:51.309696,2708,0.003431606599315794,COMPLETE
18,18,0.7353712320327759,2024-09-24 10:08:04.732528,2024-09-24 10:09:55.676439,0 days 00:01:50.943911,2708,0.0033978944195031603,COMPLETE
19,19,0.7282007932662964,2024-09-24 10:09:55.802167,2024-09-24 10:11:48.260762,0 days 00:01:52.458595,2110,0.003810526158985642,COMPLETE
