,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.1066666692495346,2023-12-14 14:46:11.842066,2023-12-14 14:51:16.339019,0 days 00:05:04.496953,256,75,0.01574189004745665,6.0909271150834465,COMPLETE
1,1,0.19333334267139435,2023-12-14 14:51:16.469169,2023-12-14 14:59:58.614809,0 days 00:08:42.145640,512,142,6.690421166498795e-06,5.342613029995931,COMPLETE
2,2,0.13555555045604706,2023-12-14 14:59:58.764859,2023-12-14 15:05:23.566740,0 days 00:05:24.801881,512,87,0.005141096648805749,2.1568030651519257,COMPLETE
3,3,0.10000000149011612,2023-12-14 15:05:23.731401,2023-12-14 15:11:14.934999,0 days 00:05:51.203598,4500,103,0.06220025976819164,8.12229401154132,COMPLETE
4,4,0.10222222656011581,2023-12-14 15:11:15.094517,2023-12-14 15:15:05.457038,0 days 00:03:50.362521,512,61,0.02857080075040725,2.736043819680166,COMPLETE
5,5,0.10000000149011612,2023-12-14 15:15:05.612409,2023-12-14 15:22:38.288494,0 days 00:07:32.676085,4096,133,0.04335045392775135,8.96930803419096,COMPLETE
6,6,0.10444444417953491,2023-12-14 15:22:38.424006,2023-12-14 15:30:24.448830,0 days 00:07:46.024824,256,120,4.247116662617139e-06,8.321627589688907,COMPLETE
7,7,0.9200000762939453,2023-12-14 15:30:24.584605,2023-12-14 15:34:37.321917,0 days 00:04:12.737312,4500,72,0.004300001586162603,2.14741367903489,COMPLETE
8,8,0.08444444090127945,2023-12-14 15:34:37.518474,2023-12-14 15:35:02.046655,0 days 00:00:24.528181,256,2,4.956947932799961e-07,8.658413573580816,COMPLETE
9,9,0.10444444417953491,2023-12-14 15:35:02.178384,2023-12-14 15:42:10.583889,0 days 00:07:08.405505,4096,125,0.021051180519608702,4.827706266587104,COMPLETE
10,10,0.95333331823349,2023-12-14 15:42:10.728889,2023-12-14 15:46:07.777972,0 days 00:03:57.049083,4500,67,0.0027812111920863685,1.1653388554288193,COMPLETE
11,11,0.9444444179534912,2023-12-14 15:46:07.926291,2023-12-14 15:48:35.829693,0 days 00:02:27.903402,4500,40,0.00217859305159641,1.5569451802021874,COMPLETE
12,12,0.8600000143051147,2023-12-14 15:48:35.967435,2023-12-14 15:52:30.193289,0 days 00:03:54.225854,4500,66,0.00040503497157331423,1.5532256786997398,COMPLETE
13,13,0.4266666769981384,2023-12-14 15:52:30.364636,2023-12-14 15:55:38.657731,0 days 00:03:08.293095,4500,52,0.008139274373022089,1.1594075335618605,COMPLETE
14,14,0.9533333778381348,2023-12-14 15:55:38.820048,2023-12-14 15:59:55.927262,0 days 00:04:17.107214,4500,73,0.0016051161748084004,2.2248332654599943,COMPLETE
15,15,0.948888897895813,2023-12-14 15:59:56.057986,2023-12-14 16:03:53.994978,0 days 00:03:57.936992,4500,67,0.001459620296180891,1.7068036674077396,COMPLETE
16,16,0.944444477558136,2023-12-14 16:03:54.146811,2023-12-14 16:08:01.164605,0 days 00:04:07.017794,4500,70,0.002655629678271627,2.3880291277522736,COMPLETE
17,17,0.9644445180892944,2023-12-14 16:08:01.340486,2023-12-14 16:12:04.854766,0 days 00:04:03.514280,4500,69,0.0020921166309788913,1.7002192009666706,COMPLETE
18,18,0.9333333969116211,2023-12-14 16:12:05.043848,2023-12-14 16:15:59.503699,0 days 00:03:54.459851,4500,66,0.001978400654612464,1.71580338421481,COMPLETE
19,19,0.9444444179534912,2023-12-14 16:15:59.707328,2023-12-14 16:20:04.333885,0 days 00:04:04.626557,4500,69,0.0019648129025460156,1.7944948792177835,COMPLETE
20,20,0.9399999380111694,2023-12-14 16:20:04.498833,2023-12-14 16:24:21.753325,0 days 00:04:17.254492,4500,73,0.001998031091436266,1.7972589612734668,COMPLETE
21,21,0.9377777576446533,2023-12-14 16:24:21.920786,2023-12-14 16:29:30.073756,0 days 00:05:08.152970,4500,56,0.0010507778159418795,2.324253056080026,COMPLETE
22,22,0.95333331823349,2023-12-14 16:29:30.755632,2023-12-14 16:33:31.411846,0 days 00:04:00.656214,4500,68,0.001892458878963868,1.8044006437876579,COMPLETE
23,23,0.9577777981758118,2023-12-14 16:33:31.565558,2023-12-14 16:37:30.502981,0 days 00:03:58.937423,4500,67,0.0018858448093560993,1.8155807833989461,COMPLETE
24,24,0.9555556178092957,2023-12-14 16:37:30.642231,2023-12-14 16:41:17.807683,0 days 00:03:47.165452,4500,64,0.0018709164713085538,1.8491882655799756,COMPLETE
