,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,state
0,0,0.3663069009780884,2024-09-24 09:32:05.359026,2024-09-24 09:35:37.612239,0 days 00:03:32.253213,2584,1.7670169402947936e-05,COMPLETE
1,1,0.7914713621139526,2024-09-24 09:35:37.765615,2024-09-24 09:37:30.393523,0 days 00:01:52.627908,1698,0.002465832945854913,COMPLETE
2,2,0.3735026717185974,2024-09-24 09:37:30.526167,2024-09-24 09:39:26.597661,0 days 00:01:56.071494,584,8.632008168602531e-07,COMPLETE
3,3,0.37075135111808777,2024-09-24 09:39:26.757673,2024-09-24 09:41:18.315624,0 days 00:01:51.557951,2372,2.2310108018679224e-07,COMPLETE
4,4,0.4891640245914459,2024-09-24 09:41:18.473000,2024-09-24 09:43:10.912371,0 days 00:01:52.439371,1974,0.0004042872735027335,COMPLETE
5,5,0.3663069009780884,2024-09-24 09:43:11.041317,2024-09-24 09:45:03.908577,0 days 00:01:52.867260,2633,1.3289448722869174e-07,COMPLETE
6,6,0.70438551902771,2024-09-24 09:45:04.053537,2024-09-24 09:47:00.038990,0 days 00:01:55.985453,726,0.00987770029400792,COMPLETE
7,7,0.3735026717185974,2024-09-24 09:47:00.161937,2024-09-24 09:48:55.738967,0 days 00:01:55.577030,653,1.2329623163659828e-06,COMPLETE
8,8,0.37075135111808777,2024-09-24 09:48:55.868150,2024-09-24 09:50:49.438692,0 days 00:01:53.570542,1512,6.690421166498795e-06,COMPLETE
9,9,0.3766772747039795,2024-09-24 09:50:49.626737,2024-09-24 09:52:43.771623,0 days 00:01:54.144886,925,3.905441275210791e-05,COMPLETE
10,10,0.7731066942214966,2024-09-24 09:52:43.904252,2024-09-24 09:54:34.792349,0 days 00:01:50.888097,2708,0.0036531899034913744,COMPLETE
11,11,0.7455154061317444,2024-09-24 09:54:34.954170,2024-09-24 09:56:41.455462,0 days 00:02:06.501292,192,0.003219893549260422,COMPLETE
12,12,0.7699321508407593,2024-09-24 09:56:41.596457,2024-09-24 09:58:33.195379,0 days 00:01:51.598922,2708,0.0037986765024327677,COMPLETE
13,13,0.778631329536438,2024-09-24 09:58:33.381756,2024-09-24 10:00:27.953361,0 days 00:01:54.571605,1655,0.003676131018061656,COMPLETE
14,14,0.06444444507360458,2024-09-24 10:00:28.085746,2024-09-24 10:02:19.324142,0 days 00:01:51.238396,2708,0.09999999999999999,COMPLETE
15,15,0.778631329536438,2024-09-24 10:02:19.459339,2024-09-24 10:04:13.688652,0 days 00:01:54.229313,1629,0.003779687196061054,COMPLETE
16,16,0.7764090895652771,2024-09-24 10:04:13.814137,2024-09-24 10:06:07.632002,0 days 00:01:53.817865,1650,0.0037675377384113525,COMPLETE
17,17,0.7932255268096924,2024-09-24 10:06:07.760278,2024-09-24 10:07:58.946799,0 days 00:01:51.186521,2708,0.0026618629876926283,COMPLETE
18,18,0.7722996473312378,2024-09-24 10:07:59.073795,2024-09-24 10:09:50.395947,0 days 00:01:51.322152,2708,0.0021804160192831295,COMPLETE
19,19,0.7976700067520142,2024-09-24 10:09:50.527833,2024-09-24 10:11:43.271462,0 days 00:01:52.743629,2708,0.0025383565087520213,COMPLETE
