,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.00819999910891056,2023-12-13 13:39:48.358002,2023-12-13 15:44:49.798231,0 days 02:05:01.440229,256,75,1.3289448722869174e-07,9.705116551187544,COMPLETE
1,1,0.016999999061226845,2023-12-13 15:44:49.958086,2023-12-13 19:25:25.745207,0 days 03:40:35.787121,32768,167,5.6606706992588876e-06,3.790346064278179,COMPLETE
2,2,0.6288000345230103,2023-12-13 19:25:25.899345,2023-12-13 21:27:59.908981,0 days 02:02:34.009636,45000,92,0.06220025976819164,8.12229401154132,COMPLETE
3,3,0.013000000268220901,2023-12-13 21:28:00.090901,2023-12-13 22:50:00.372551,0 days 01:22:00.281650,16384,61,7.417652034871818e-06,5.296666607542546,COMPLETE
4,4,0.01680000126361847,2023-12-13 22:50:00.537751,2023-12-14 01:44:03.216991,0 days 02:54:02.679240,512,110,1.8679434894556299e-07,3.388237241479991,COMPLETE
5,5,0.8678000569343567,2023-12-14 01:44:03.380490,2023-12-14 03:29:04.846107,0 days 01:45:01.465617,45000,78,0.004300001586162603,2.14741367903489,COMPLETE
6,6,0.015200000256299973,2023-12-14 03:29:05.083834,2023-12-14 03:33:21.838717,0 days 00:04:16.754883,32768,2,9.669146694016018e-06,0.8228718328030318,COMPLETE
7,7,0.8402000069618225,2023-12-14 03:33:22.002917,2023-12-14 05:01:28.159869,0 days 01:28:06.156952,2048,63,0.0042247700890263706,5.0391968443710295,COMPLETE
8,8,0.029600000008940697,2023-12-14 05:01:28.294320,2023-12-14 07:21:29.580242,0 days 02:20:01.285922,32768,105,2.8993292583566958e-05,7.6044011577218775,COMPLETE
9,9,0.510200023651123,2023-12-14 07:21:29.869617,2023-12-14 08:26:53.564979,0 days 01:05:23.695362,2048,46,0.02266490958666926,5.485553970773378,COMPLETE
10,10,0.8560000061988831,2023-12-14 08:26:53.720901,2023-12-14 10:17:22.935572,0 days 01:50:29.214671,45000,82,0.011842439987268768,3.9487473977967125,COMPLETE
11,11,0.871999979019165,2023-12-14 10:17:23.097745,2023-12-14 12:12:47.505979,0 days 01:55:24.408234,2048,83,0.000634169630313714,4.519939180235149,COMPLETE
12,12,0.8659999966621399,2023-12-14 12:12:47.657353,2023-12-14 13:35:16.673677,0 days 01:22:29.016324,2048,59,0.0006036689875862824,4.822076223849354,COMPLETE
13,13,0.8564000129699707,2023-12-14 13:35:16.812878,2023-12-14 15:23:27.773858,0 days 01:48:10.960980,2048,77,0.001357664225606765,4.691825388275023,COMPLETE
14,14,0.8652000427246094,2023-12-14 15:23:27.932862,2023-12-14 17:17:40.627607,0 days 01:54:12.694745,45000,84,0.0023108933044480103,3.816581352186744,COMPLETE
15,15,0.8696000576019287,2023-12-14 17:17:40.801982,2023-12-14 19:07:20.073492,0 days 01:49:39.271510,45000,82,0.004596977647751581,3.155621744363699,COMPLETE
16,16,0.8691999912261963,2023-12-14 19:07:20.253772,2023-12-14 20:05:26.437388,0 days 00:58:06.183616,45000,43,0.003864041640776964,3.7834542364883688,COMPLETE
17,17,0.8658000230789185,2023-12-14 20:05:26.634044,2023-12-14 21:32:12.650552,0 days 01:26:46.016508,45000,65,0.004447944383209279,3.356029259996772,COMPLETE
18,18,0.8709999918937683,2023-12-14 21:32:12.825883,2023-12-14 23:05:12.926576,0 days 01:33:00.100693,45000,70,0.003923723343574452,3.234628086060091,COMPLETE
19,19,0.870199978351593,2023-12-14 23:05:13.096648,2023-12-15 00:34:41.488628,0 days 01:29:28.391980,45000,67,0.003497279299665464,3.1577838653785135,COMPLETE
