,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.014499999582767487,2023-12-19 17:03:28.289734,2023-12-19 17:13:28.251170,0 days 00:09:59.961436,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.011500000022351742,2023-12-19 17:13:28.445500,2023-12-19 17:28:42.687615,0 days 00:15:14.242115,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.023499999195337296,2023-12-19 17:28:42.820678,2023-12-19 17:30:27.096435,0 days 00:01:44.275757,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.004000000189989805,2023-12-19 17:30:27.281415,2023-12-19 17:48:33.753778,0 days 00:18:06.472363,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.0020000000949949026,2023-12-19 17:48:33.897077,2023-12-19 18:09:47.192512,0 days 00:21:13.295435,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.008500000461935997,2023-12-19 18:09:47.370950,2023-12-19 18:14:42.372444,0 days 00:04:55.001494,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.012000000104308128,2023-12-19 18:14:42.520601,2023-12-19 18:25:54.646575,0 days 00:11:12.125974,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.006500000134110451,2023-12-19 18:25:54.794638,2023-12-19 18:29:39.447082,0 days 00:03:44.652444,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.03949999809265137,2023-12-19 18:29:39.659850,2023-12-19 18:41:32.414740,0 days 00:11:52.754890,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.011500000022351742,2023-12-19 18:41:32.629064,2023-12-19 18:54:45.479994,0 days 00:13:12.850930,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.02500000037252903,2023-12-19 18:54:45.610976,2023-12-19 19:03:58.514820,0 days 00:09:12.903844,71,0.010009365713196819,1.6429906395520624,COMPLETE
11,11,0.029499998316168785,2023-12-19 19:03:58.694927,2023-12-19 19:20:25.284898,0 days 00:16:26.589971,126,0.006115120093007133,3.54679221285353,COMPLETE
12,12,0.04150000214576721,2023-12-19 19:20:25.419691,2023-12-19 19:29:05.723692,0 days 00:08:40.304001,67,0.0028535358693383664,3.9728146335609327,COMPLETE
13,13,0.04349999874830246,2023-12-19 19:29:05.864363,2023-12-19 19:38:47.366086,0 days 00:09:41.501723,75,0.0031329663617851696,2.3899047207853767,COMPLETE
14,14,0.041999999433755875,2023-12-19 19:38:47.553713,2023-12-19 19:45:53.472418,0 days 00:07:05.918705,54,0.003576434730336643,2.3908570313768234,COMPLETE
15,15,0.00699999975040555,2023-12-19 19:45:53.622216,2023-12-19 19:46:16.527656,0 days 00:00:22.905440,1,0.00044184415211997183,0.2,COMPLETE
16,16,0.009499999694526196,2023-12-19 19:46:16.701178,2023-12-19 19:46:38.694217,0 days 00:00:21.993039,1,1.0547383621352028e-06,0.2,COMPLETE
17,17,0.032499998807907104,2023-12-19 19:46:38.907873,2023-12-19 19:55:44.852934,0 days 00:09:05.945061,70,0.0030884523056394567,2.994596843099587,COMPLETE
18,18,0.03100000135600567,2023-12-19 19:55:44.995835,2023-12-19 19:58:10.368890,0 days 00:02:25.373055,17,0.003725156239484282,3.859927729588646,COMPLETE
19,19,0.03400000184774399,2023-12-19 19:58:10.559002,2023-12-19 20:10:14.741385,0 days 00:12:04.182383,94,0.0028893382943334486,0.6732711644823144,COMPLETE
