,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_max_grad_norm,state
35,35,0.9177777767181396,2023-12-14 16:55:52.653054,2023-12-14 16:57:51.569204,0 days 00:01:58.916150,4500,57,0.002986459047898955,1.7284713561878366,COMPLETE
36,36,0.9155555963516235,2023-12-14 16:57:51.699493,2023-12-14 16:59:52.339923,0 days 00:02:00.640430,4500,58,0.0032919686756513193,1.4414334221630245,COMPLETE
37,37,0.8999999761581421,2023-12-14 16:59:52.486775,2023-12-14 17:04:22.690490,0 days 00:04:30.203715,512,109,0.0009947844195767953,1.01435793658244,COMPLETE
38,38,0.9088888764381409,2023-12-14 17:04:22.832355,2023-12-14 17:09:55.755525,0 days 00:05:32.923170,512,136,0.000986504441455987,1.0197014644511069,COMPLETE
39,39,0.90666663646698,2023-12-14 17:09:55.901995,2023-12-14 17:14:32.697710,0 days 00:04:36.795715,512,112,0.0009501062314639771,0.9133898983956854,COMPLETE
40,40,0.9133333563804626,2023-12-14 17:14:32.830548,2023-12-14 17:19:00.916259,0 days 00:04:28.085711,512,108,0.0009927344680258753,0.6991906999376287,COMPLETE
41,41,0.9088889360427856,2023-12-14 17:19:01.066022,2023-12-14 17:23:40.871111,0 days 00:04:39.805089,512,114,0.0010380447314878465,0.2,COMPLETE
42,42,0.9088888764381409,2023-12-14 17:23:41.006215,2023-12-14 17:27:55.439797,0 days 00:04:14.433582,512,102,0.0009231348926534413,0.5674110558058278,COMPLETE
43,43,0.9133332967758179,2023-12-14 17:27:55.587528,2023-12-14 17:32:01.124762,0 days 00:04:05.537234,512,98,0.000863045770650516,0.6655859128026926,COMPLETE
44,44,0.9222222566604614,2023-12-14 17:32:01.302015,2023-12-14 17:35:28.616781,0 days 00:03:27.314766,512,83,0.0007851319895454366,0.2525476400126802,COMPLETE
45,45,0.9133332967758179,2023-12-14 17:35:28.747319,2023-12-14 17:38:25.707468,0 days 00:02:56.960149,512,70,0.0006720177186745164,0.2,COMPLETE
46,46,0.9200000762939453,2023-12-14 17:38:25.851285,2023-12-14 17:42:43.930327,0 days 00:04:18.079042,512,104,0.0010468556584891282,0.2,COMPLETE
47,47,0.9111111760139465,2023-12-14 17:42:44.063469,2023-12-14 17:46:43.457997,0 days 00:03:59.394528,512,95,0.0010954561603208409,0.2,COMPLETE
48,48,0.911111056804657,2023-12-14 17:46:43.611628,2023-12-14 17:51:00.097786,0 days 00:04:16.486158,512,103,0.0009907859256368277,0.2,COMPLETE
49,49,0.9155555963516235,2023-12-14 17:51:00.229977,2023-12-14 17:55:19.294022,0 days 00:04:19.064045,512,104,0.0009945216266009007,0.2,COMPLETE
