,number,value,datetime_start,datetime_complete,duration,params_epochs,params_learning_rate,params_max_grad_norm,state
0,0,0.24222221970558167,2023-12-19 17:03:27.940521,2023-12-19 17:09:08.185525,0 days 00:05:40.245004,75,0.0506157688875231,7.373540629751771,COMPLETE
1,1,0.08888888359069824,2023-12-19 17:09:08.371544,2023-12-19 17:17:18.372530,0 days 00:08:10.000986,120,8.632008168602531e-07,1.728746299294786,COMPLETE
2,2,0.851111114025116,2023-12-19 17:17:18.502399,2023-12-19 17:18:16.100101,0 days 00:00:57.597702,12,0.01574189004745665,6.0909271150834465,COMPLETE
3,3,0.03999999910593033,2023-12-19 17:18:16.280220,2023-12-19 17:27:55.436172,0 days 00:09:39.155952,142,1.3289448722869174e-07,9.705116551187544,COMPLETE
4,4,0.09777778387069702,2023-12-19 17:27:55.568041,2023-12-19 17:39:13.863237,0 days 00:11:18.295196,167,1.8794668241638449e-06,1.981884678629586,COMPLETE
5,5,0.12666667997837067,2023-12-19 17:39:14.021204,2023-12-19 17:41:53.965533,0 days 00:02:39.944329,37,6.690421166498795e-06,5.342613029995931,COMPLETE
6,6,0.07999999821186066,2023-12-19 17:41:54.095365,2023-12-19 17:47:51.863005,0 days 00:05:57.767640,87,5.589524205217927e-06,6.1961583682793195,COMPLETE
7,7,0.09777778387069702,2023-12-19 17:47:52.019655,2023-12-19 17:49:53.467519,0 days 00:02:01.447864,28,5.6606706992588876e-06,3.790346064278179,COMPLETE
8,8,0.8755555748939514,2023-12-19 17:49:53.637142,2023-12-19 17:56:12.320295,0 days 00:06:18.683153,92,0.005141096648805749,2.1568030651519257,COMPLETE
9,9,0.8288888931274414,2023-12-19 17:56:12.479282,2023-12-19 18:03:14.498824,0 days 00:07:02.019542,103,0.00035849855803404753,0.6552140446559778,COMPLETE
10,10,0.8799999952316284,2023-12-19 18:03:14.643345,2023-12-19 18:04:12.956017,0 days 00:00:58.312672,12,0.004462172576872044,3.136211468338107,COMPLETE
11,11,0.902222216129303,2023-12-19 18:04:13.087687,2023-12-19 18:09:15.884372,0 days 00:05:02.796685,73,0.0023184992545270495,0.2318082130022255,COMPLETE
12,12,0.8955556154251099,2023-12-19 18:09:16.079347,2023-12-19 18:14:04.014506,0 days 00:04:47.935159,69,0.0015525214529266416,2.465603097606643,COMPLETE
13,13,0.25999999046325684,2023-12-19 18:14:04.149696,2023-12-19 18:14:17.952694,0 days 00:00:13.802998,1,0.003698641931878821,5.807854023245455,COMPLETE
14,14,0.8777777552604675,2023-12-19 18:14:18.081584,2023-12-19 18:17:21.428500,0 days 00:03:03.346916,43,0.009253858360789272,1.2848650795834171,COMPLETE
15,15,0.9088888168334961,2023-12-19 18:17:21.561268,2023-12-19 18:21:07.785549,0 days 00:03:46.224281,54,0.00317774652022284,1.1939888119541215,COMPLETE
16,16,0.7977777719497681,2023-12-19 18:21:07.979900,2023-12-19 18:22:31.028204,0 days 00:01:23.048304,18,0.03381430386864674,2.615884954042452,COMPLETE
17,17,0.8866666555404663,2023-12-19 18:22:31.202750,2023-12-19 18:26:49.087144,0 days 00:04:17.884394,62,0.002982550277447226,1.3121267285403324,COMPLETE
18,18,0.8777778148651123,2023-12-19 18:26:49.220974,2023-12-19 18:30:03.091246,0 days 00:03:13.870272,46,0.0009285189925333263,0.5032150598493093,COMPLETE
19,19,0.8999999761581421,2023-12-19 18:30:03.224166,2023-12-19 18:37:33.520154,0 days 00:07:30.295988,110,0.001110160492216445,1.1050554236943702,COMPLETE
