Step,Clipped_Mean_vs_Unclipped_Mean,Clipped_Mean_vs_Unclipped_Median,Unclipped_Mean_vs_Unclipped_Median
0,0.9989414811134338,0.9794126749038696,0.9801813364028931
1,0.9991511106491089,0.9824494123458862,0.9828420877456665
2,0.9991799592971802,0.9843763113021851,0.9846487641334534
3,0.9990390539169312,0.9781481623649597,0.9783812761306763
4,0.9979889988899231,0.9738901853561401,0.9738484025001526
5,0.9979856014251709,0.9694815874099731,0.9693790674209595
6,0.9972256422042847,0.9649295806884766,0.9652365446090698
7,0.997245192527771,0.9684032797813416,0.9671794176101685
8,0.9955074191093445,0.9670674204826355,0.9662079811096191
9,0.9946860074996948,0.956330418586731,0.9552479982376099
10,0.9942622184753418,0.9468644857406616,0.9477145671844482
11,0.9809414148330688,0.9414206147193909,0.9292911291122437
12,0.974707841873169,0.9384796619415283,0.9165772795677185
13,0.9397857189178467,0.9449269771575928,0.8811705112457275
14,0.9311631917953491,0.9373012185096741,0.8654929399490356
15,0.9183146357536316,0.9253053069114685,0.8270382881164551
16,0.9418303966522217,0.8950950503349304,0.8070849180221558
17,0.926130473613739,0.8676774501800537,0.7305824160575867
18,0.9470036029815674,0.8244549036026001,0.7431718707084656
19,0.9419100880622864,0.7625032663345337,0.6347430944442749
20,0.9475221633911133,0.723779559135437,0.6556016802787781
21,0.9501043558120728,0.7775818109512329,0.7102041244506836
22,0.9446341395378113,0.7430294156074524,0.6909598112106323
23,0.9315632581710815,0.7560428380966187,0.6897475123405457
24,0.9964845180511475,0.6408787965774536,0.590217649936676
25,0.9469906091690063,0.7044560313224792,0.6472501754760742
26,0.9357975125312805,0.7034327387809753,0.6420272588729858
27,0.952233076095581,0.6722884774208069,0.5672924518585205
28,0.9410076141357422,0.697868824005127,0.6313725113868713
29,0.9401925802230835,0.6803088188171387,0.6347084045410156
30,0.8881857395172119,0.6806191205978394,0.5936711430549622
31,0.8907542824745178,0.6817200183868408,0.5796696543693542
32,0.8826324343681335,0.6670013070106506,0.5720725059509277
33,0.9906384944915771,0.6657496690750122,0.624582827091217
34,0.897224485874176,0.48420536518096924,0.44994765520095825
35,0.9156274795532227,0.6862918138504028,0.6570388674736023
36,0.8597072958946228,0.6500201225280762,0.570375382900238
37,0.9329255819320679,0.6763830780982971,0.6235371232032776
38,0.9900854825973511,0.6349460482597351,0.5557608008384705
39,0.991939902305603,0.5046148300170898,0.41473910212516785
40,0.9044861793518066,0.5892312526702881,0.4975583255290985
41,0.8962668776512146,0.6621140837669373,0.6146391034126282
42,0.943613588809967,0.6838865280151367,0.6707280874252319
43,0.9451870918273926,0.7028419971466064,0.6883019208908081
44,0.9022196531295776,0.6717021465301514,0.6431026458740234
45,0.9862022399902344,0.6798804402351379,0.6598518490791321
46,0.9863119125366211,0.688571572303772,0.6611031293869019
47,0.9426938891410828,0.6891180872917175,0.673833966255188
48,0.9407623410224915,0.7014312744140625,0.6790493130683899
49,0.9373757839202881,0.7200064063072205,0.6943706274032593
50,0.9279032945632935,0.7105628848075867,0.6777822971343994
