Step,Clipped_Mean_vs_Unclipped_Mean,Clipped_Mean_vs_Unclipped_Median,Unclipped_Mean_vs_Unclipped_Median
0,0.9990048408508301,0.9809756278991699,0.9818834066390991
1,0.9992700815200806,0.9779229164123535,0.9775851368904114
2,0.9989193677902222,0.9700926542282104,0.9683640599250793
3,0.9987843036651611,0.9757289886474609,0.9745317697525024
4,0.9976997971534729,0.9626427888870239,0.9570342302322388
5,0.9971736073493958,0.9608995914459229,0.9564868211746216
6,0.9951073527336121,0.9619532227516174,0.9549868106842041
7,0.9937804937362671,0.9648656249046326,0.9585940837860107
8,0.9936739802360535,0.9589748382568359,0.9482567310333252
9,0.989936113357544,0.9468046426773071,0.9297065138816833
10,0.9904980063438416,0.9492059350013733,0.9349173307418823
11,0.9874560236930847,0.9439390897750854,0.9245178699493408
12,0.9813677668571472,0.9420808553695679,0.9103039503097534
13,0.9832168817520142,0.9570077061653137,0.9354755878448486
14,0.9578367471694946,0.9186637997627258,0.8663586378097534
15,0.9484350681304932,0.9365028738975525,0.8680711984634399
16,0.9398940801620483,0.9080022573471069,0.8388468027114868
17,0.9543979167938232,0.9130568504333496,0.8491722345352173
18,0.950058102607727,0.8863306045532227,0.8236856460571289
19,0.9348375201225281,0.9150388836860657,0.8318490982055664
20,0.9481807351112366,0.8888776302337646,0.824304461479187
21,0.9571800231933594,0.8929335474967957,0.8336284160614014
22,0.9472792148590088,0.8673498034477234,0.7899688482284546
23,0.9323419332504272,0.8564844727516174,0.7774642705917358
24,0.9456625580787659,0.8423882722854614,0.7590415477752686
25,0.9476123452186584,0.8793041110038757,0.7957309484481812
26,0.949152946472168,0.8552663922309875,0.7748928070068359
27,0.9485564827919006,0.8131694793701172,0.7323169708251953
28,0.9471374154090881,0.8484159111976624,0.7771544456481934
29,0.9352965354919434,0.8867214918136597,0.7940008044242859
30,0.9418628215789795,0.8891502022743225,0.8041539192199707
31,0.8706064820289612,0.8663640022277832,0.6606804728507996
32,0.9170238971710205,0.8776932954788208,0.7373075485229492
33,0.9503426551818848,0.8958351016044617,0.8069667220115662
34,0.9322732090950012,0.8882195353507996,0.7537188529968262
35,0.9583816528320312,0.9085503220558167,0.8381178379058838
36,0.9300438165664673,0.8817200660705566,0.7532088756561279
37,0.9437089562416077,0.8919264674186707,0.7916064858436584
38,0.93763267993927,0.9027739763259888,0.8037465214729309
39,0.9494204521179199,0.878243625164032,0.7821285724639893
40,0.9510269165039062,0.8772953748703003,0.7981988191604614
41,0.9533250331878662,0.8572319149971008,0.762901782989502
42,0.9443705081939697,0.85389643907547,0.7647421360015869
43,0.9482877254486084,0.8745849132537842,0.7761337757110596
44,0.9602086544036865,0.8944574594497681,0.8268433213233948
45,0.9669567346572876,0.8182393312454224,0.7583884000778198
46,0.9611737728118896,0.852654218673706,0.783211886882782
47,0.9553530216217041,0.7958970665931702,0.7127901315689087
48,0.9637946486473083,0.8138209581375122,0.7526410222053528
49,0.9617971181869507,0.8458820581436157,0.7837181091308594
50,0.9560622572898865,0.8398945927619934,0.789842963218689
