Step,Clipped_Mean_vs_Unclipped_Mean,Clipped_Mean_vs_Unclipped_Median,Unclipped_Mean_vs_Unclipped_Median,Clipped_0.25_vs_Clipped_Mean,Clipped_0.5_vs_Clipped_Mean,Clipped_0.75_vs_Clipped_Mean,Clipped_0.25_vs_Unclipped_Mean,Clipped_0.5_vs_Unclipped_Mean,Clipped_0.75_vs_Unclipped_Mean,Clipped_0.25_vs_Unclipped_Median,Clipped_0.5_vs_Unclipped_Median,Clipped_0.75_vs_Unclipped_Median
0,0.9988296031951904,0.1720317006111145,0.17184209823608398,0.999754786491394,0.9991579055786133,0.17197436094284058,0.9995416402816772,0.9995482563972473,0.17185156047344208,0.9993194937705994,0.9998140931129456,0.17181411385536194
1,0.9962310791015625,0.14438971877098083,0.15362872183322906,0.999537467956543,0.997894823551178,0.14736135303974152,0.9986984729766846,0.9990574717521667,0.14972175657749176,0.9974607229232788,0.9997270703315735,0.15216264128684998
2,0.9575797915458679,0.2164684534072876,0.27366530895233154,0.9935908913612366,0.9801424741744995,0.23830167949199677,0.9810613989830017,0.9918966889381409,0.2570592761039734,0.9690341353416443,0.9965570569038391,0.2687450051307678
3,0.8729516267776489,0.2635782063007355,0.3550530672073364,0.9768468141555786,0.9502267837524414,0.3075818121433258,0.9200116395950317,0.9904970526695251,0.3415268659591675,0.8872664570808411,0.9986101388931274,0.35327979922294617
4,0.7375941276550293,0.2931467294692993,0.4048072099685669,0.9657337665557861,0.8705925345420837,0.34670889377593994,0.8358317017555237,0.9771931767463684,0.39688071608543396,0.7688103914260864,0.9966472387313843,0.4070557951927185
5,0.7381902933120728,0.30994999408721924,0.3941970467567444,0.9894008636474609,0.8081341981887817,0.3351726531982422,0.8479381799697876,0.9708679914474487,0.38901883363723755,0.768839955329895,0.9965415000915527,0.3950534462928772
6,0.8314418196678162,0.36182135343551636,0.39554154872894287,0.9999876022338867,0.8293564319610596,0.36118704080581665,0.907126784324646,0.9777601957321167,0.3998350501060486,0.854103147983551,0.996374249458313,0.39996418356895447
7,0.8215981721878052,0.3388599455356598,0.35067108273506165,0.9716553092002869,0.6955228447914124,0.30789247155189514,0.9338618516921997,0.9581854939460754,0.36046433448791504,0.8426114916801453,0.9949727058410645,0.3567463457584381
8,0.8926088809967041,0.296382337808609,0.314934641122818,0.967059314250946,0.7813767194747925,0.27701106667518616,0.9505211114883423,0.9746705293655396,0.31572017073631287,0.9105114340782166,0.9958584308624268,0.3209781348705292
9,0.8863869905471802,0.2628757953643799,0.2516627907752991,0.8945693373680115,0.6545208692550659,0.23201146721839905,0.9655112028121948,0.9606738686561584,0.26742058992385864,0.906160831451416,0.9961416721343994,0.2617117166519165
10,0.9050118923187256,0.258338063955307,0.24411199986934662,0.8709492087364197,0.6485946774482727,0.23434413969516754,0.9796791672706604,0.9521828293800354,0.2604769468307495,0.928439199924469,0.9956942796707153,0.25635892152786255
11,0.8973253965377808,0.2009831964969635,0.17473147809505463,0.8828557133674622,0.6630089282989502,0.1900048702955246,0.9853330850601196,0.9361718893051147,0.19931627810001373,0.9195333123207092,0.9960822463035583,0.18594734370708466
12,0.8654322624206543,0.17559179663658142,0.12060869485139847,0.7971200942993164,0.4852725565433502,0.18702632188796997,0.9929062724113464,0.9025202989578247,0.17260223627090454,0.9017239809036255,0.9935300350189209,0.13846802711486816
13,0.8328653573989868,0.14034253358840942,0.049356792122125626,0.7710758447647095,0.42384326457977295,0.15921542048454285,0.9999876022338867,0.8347071409225464,0.14001604914665222,0.8767901659011841,0.9912019968032837,0.07271184772253036
14,0.8111677169799805,0.14491364359855652,0.05320638418197632,0.7778105735778809,0.3989977240562439,0.19960321485996246,0.99983149766922,0.8184372186660767,0.1433260440826416,0.8680208921432495,0.9864816665649414,0.07264912873506546
15,0.8313623070716858,0.11373366415500641,0.02005476877093315,0.7374080419540405,0.374813437461853,0.17904038727283478,0.998856782913208,0.811927080154419,0.11988575011491776,0.8801224231719971,0.9851903915405273,0.036656707525253296
16,0.7916924357414246,0.1386844515800476,0.004971230402588844,0.7694456577301025,0.3615657389163971,0.2293316125869751,0.995327889919281,0.7515443563461304,0.15408384799957275,0.9059731960296631,0.9508183002471924,0.048382822424173355
17,0.7882617712020874,0.1329309642314911,0.042591240257024765,0.7610587477684021,0.38682880997657776,0.21724775433540344,0.9967664480209351,0.7585554122924805,0.14357641339302063,0.9042218923568726,0.9543148279190063,0.061053063720464706
18,0.7925547361373901,0.1435341238975525,0.055334024131298065,0.7137852311134338,0.368064820766449,0.24714849889278412,0.9911573529243469,0.7377614974975586,0.16040834784507751,0.9117579460144043,0.9517831206321716,0.08088169246912003
19,0.7640665769577026,0.16027896106243134,0.041655272245407104,0.7565791606903076,0.3644070625305176,0.2599075436592102,0.9702669978141785,0.6417226791381836,0.19601356983184814,0.9064851999282837,0.9460645318031311,0.0829523429274559
20,0.8021478652954102,0.18241405487060547,0.0956323966383934,0.8117567300796509,0.4892902374267578,0.26187628507614136,0.9818453788757324,0.7197622656822205,0.210504412651062,0.9116044044494629,0.9519290924072266,0.116630420088768
21,0.8156815767288208,0.2661028206348419,0.1813754290342331,0.8526039719581604,0.5541617274284363,0.3128599524497986,0.98102867603302,0.7312798500061035,0.28570806980133057,0.9274388551712036,0.943159282207489,0.21015581488609314
22,0.7914605140686035,0.19894754886627197,0.12210851907730103,0.7975428104400635,0.467900812625885,0.27532026171684265,0.9684663414955139,0.6768743991851807,0.22742535173892975,0.9147431254386902,0.9283589124679565,0.13648447394371033
23,0.7933337688446045,0.25711172819137573,0.16372214257717133,0.798749566078186,0.49574029445648193,0.33139991760253906,0.9577778577804565,0.6724858283996582,0.29368916153907776,0.925654947757721,0.9218553304672241,0.18715569376945496
24,0.7955304980278015,0.2520143389701843,0.14955668151378632,0.841410756111145,0.5063707232475281,0.3212526738643646,0.9685688018798828,0.6804319024085999,0.2798636257648468,0.9403367638587952,0.9119871258735657,0.19909703731536865
25,0.7326627373695374,0.20886951684951782,0.10062743723392487,0.7518566250801086,0.37812966108322144,0.3382052481174469,0.9503390789031982,0.5982522964477539,0.26206403970718384,0.9427858591079712,0.8480826020240784,0.15430334210395813
26,0.7601736783981323,0.24766050279140472,0.15994766354560852,0.7957704067230225,0.5139512419700623,0.33933699131011963,0.9646986126899719,0.6725993156433105,0.2884700298309326,0.9424436092376709,0.8672481775283813,0.19801628589630127
27,0.7734452486038208,0.26343822479248047,0.18495406210422516,0.7924840450286865,0.49642807245254517,0.3714490830898285,0.9478683471679688,0.6511182188987732,0.31368014216423035,0.9426299333572388,0.886019766330719,0.2213633954524994
