Step,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.8048780487804879,0.7560975609756098,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.4594594594594595,0.4146341463414634,0.8518518518518519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.2894736842105263,0.11428571428571428,0.7096774193548387,0.96,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.2,0.11428571428571428,0.5,0.75,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.21052631578947367,0.05714285714285714,0.5483870967741935,0.7083333333333334,0.76,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.13636363636363635,0.08823529411764706,0.4666666666666667,0.5172413793103449,0.7307692307692307,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.17142857142857143,0.07894736842105263,0.42857142857142855,0.48148148148148145,0.5652173913043478,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.12903225806451613,0.11428571428571428,0.3783783783783784,0.5,0.4166666666666667,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.15384615384615385,0.07142857142857142,0.3548387096774194,0.4827586206896552,0.4166666666666667,1.0,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.1388888888888889,0.1282051282051282,0.28125,0.46875,0.35714285714285715,0.9523809523809523,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
14,0.21052631578947367,0.1388888888888889,0.35714285714285715,0.4074074074074074,0.36363636363636365,0.9411764705882353,0.5625,0.7647058823529411,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0
15,0.14285714285714285,0.10256410256410256,0.3333333333333333,0.46153846153846156,0.5,0.9375,0.2222222222222222,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.21052631578947367,0.15789473684210525,0.3448275862068966,0.5,0.3793103448275862,0.7647058823529411,0.3333333333333333,0.5263157894736842,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,1.0,1.0
17,0.21212121212121213,0.16666666666666666,0.23333333333333334,0.5,0.39285714285714285,0.8,0.26666666666666666,0.5,0.9333333333333333,1.0,0.9166666666666666,1.0,1.0,1.0,1.0
18,0.23076923076923078,0.05555555555555555,0.24242424242424243,0.4838709677419355,0.4583333333333333,0.6818181818181818,0.25,0.4,0.6842105263157895,1.0,1.0,1.0,1.0,1.0,1.0
19,0.21951219512195122,0.1724137931034483,0.25925925925925924,0.3448275862068966,0.25,0.6111111111111112,0.14285714285714285,0.42857142857142855,0.6,1.0,1.0,1.0,1.0,1.0,1.0
20,0.21621621621621623,0.16216216216216217,0.30303030303030304,0.5,0.3333333333333333,0.6086956521739131,0.26666666666666666,0.3333333333333333,0.5882352941176471,1.0,0.9,1.0,1.0,1.0,1.0
21,0.2564102564102564,0.17142857142857143,0.28125,0.45161290322580644,0.32142857142857145,0.5789473684210527,0.26666666666666666,0.2857142857142857,0.5384615384615384,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,1.0
